id,job_title,job_title_cleaned,location_cleaned,role_level,bert_similarity,fitness_score,rank,is_starred
,,aspir human resourc profession,"Raleigh, NC",mid,0.85062605,1,1,TRUE
,,aspir human resourc profession,"Raleigh, NC",mid,0.85062605,1,2,TRUE
,,aspir human resourc profession,"Raleigh, NC",mid,0.85062605,1,3,FALSE
,,aspir human resourc profession,"Raleigh, NC",mid,0.85062605,1,4,FALSE
,,aspir human resourc profession,"Raleigh, NC",mid,0.85062605,1,5,FALSE
,,aspir human resourc profession,"Kokomo, IN",mid,0.85062605,1,6,FALSE
,,aspir human resourc profession,"Raleigh, NC",mid,0.85062605,1,7,FALSE
,,human resourc profession,"Boston, MA",mid,0.76266456,0.63791996,8,FALSE
,,experienc retail manag aspir human resourc profession,"Austin, TX",mid,0.79943055,0.56428987,9,FALSE
,,aspir human resourc specialist,"New York, NY",mid,0.9397048,0.51327,10,FALSE
,,aspir human resourc specialist,"New York, NY",mid,0.9397048,0.51327,11,FALSE
,,aspir human resourc specialist,"New York, NY",mid,0.9397048,0.51327,12,FALSE
,,aspir human resourc specialist,"New York, NY",mid,0.9397048,0.51327,13,FALSE
,,aspir human resourc specialist,"New York, NY",mid,0.9397048,0.51327,14,FALSE
,,student,"Houston, TX",intern,0.39449155,0.4884144,15,FALSE
,,aspir human resourc manag student seek internship,"Houston, TX",intern,0.76189226,0.4830499,16,FALSE
,,aspir human resourc manag student seek internship,"Houston, TX",intern,0.76189226,0.4830499,17,FALSE
,,nortia staf seek human resourc payrol administr profession,"San Jose, CA",mid,0.7060994,0.47536397,18,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,19,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,20,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,21,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,22,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,23,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,24,FALSE
,,student humber colleg aspir human resourc generalist,Canada,intern,0.72907543,0.4743623,25,FALSE
,,aspir human resourc manag seek internship human resourc,"Houston, TX",mid,0.7842126,0.4684754,26,FALSE
,,human resourc staf recruit profession,"Jackson, MS",mid,0.7185905,0.45546538,27,FALSE
,,alway set success,"Los Angeles, CA",junior,0.49019694,0.4469391,28,FALSE
,,director human resourc north america group beneteau,"Grand Rapids, MI",executive,0.75637865,0.40839425,29,FALSE
,,liber art major aspir human resourc analyst,"Baton Rouge, LA",mid,0.8208533,0.37496156,30,FALSE
,,aspir human resourc manag graduat may seek entri level human resourc posit st loui,"Cape Girardeau, MO",mid,0.74549234,0.37215012,31,FALSE
,,aspir human resourc profession energet team focus leader,"Austin, TX",senior,0.8266382,0.36253667,32,FALSE
,,director human resourc ey,"Atlanta, GA",executive,0.7696576,0.34592777,33,FALSE
,,bachelor scienc biolog victoria univers wellington,"Baltimore, MD",executive,0.57401526,0.32736734,34,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,35,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,36,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,37,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,38,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,39,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,40,FALSE
,,bauer colleg busi graduat magna cum laud aspir human resourc profession,"Houston, Texas",mid,0.59503645,0.31373104,41,FALSE
,,lead offici western illinoi univers,"Chicago, IL",senior,0.541538,0.31282052,42,FALSE
,,human resourc profession world leader gi softwar,"Highland, CA",senior,0.758899,0.31143197,43,FALSE
,,human resourc generalist scottmadden inc,"Raleigh, NC",junior,0.7573035,0.30748168,44,FALSE
,,aspir human resourc profession passion help creat inclus engag work environ,"New York, NY",mid,0.7426485,0.30716917,45,FALSE
,,rrp brand portfolio execut jti japan tobacco intern,"Philadelphia, PA",intern,0.6705807,0.3068847,46,FALSE
,,student chapman univers,"Lake Forest, CA",intern,0.4469733,0.29774648,47,FALSE
,,student chapman univers,"Lake Forest, CA",intern,0.4469733,0.29774648,48,FALSE
,,student chapman univers,"Lake Forest, CA",intern,0.4469733,0.29774648,49,FALSE
,,student chapman univers,"Lake Forest, CA",intern,0.4469733,0.29774648,50,FALSE
,,human resourc generalist schwan,United States,junior,0.7217762,0.28819683,51,FALSE
,,human resourc manag major,"Milpitas, CA",junior,0.81160736,0.28630975,52,FALSE
,,nativ english teacher epik english program korea,Canada,junior,0.5543839,0.2767044,53,FALSE
,,nativ english teacher epik english program korea,Canada,junior,0.5543839,0.2767044,54,FALSE
,,nativ english teacher epik english program korea,Canada,junior,0.5543839,0.2767044,55,FALSE
,,nativ english teacher epik english program korea,Canada,junior,0.5543839,0.2767044,56,FALSE
,,nativ english teacher epik english program korea,Canada,junior,0.5543839,0.2767044,57,FALSE
,,seek human resourc opportun,"Chicago, IL",junior,0.70538497,0.26602003,58,FALSE
,,seek human resourc opportun,"Chicago, IL",junior,0.70538497,0.26602003,59,FALSE
,,seek employ opportun within custom servic patient care,"Torrance, CA",junior,0.67500675,0.2621101,60,FALSE
,,advisori board member celal bayar univers,"İzmir, Türkiye",mid,0.5685573,0.25987595,61,FALSE
,,advisori board member celal bayar univers,"İzmir, Türkiye",mid,0.5685573,0.25987595,62,FALSE
,,advisori board member celal bayar univers,"İzmir, Türkiye",mid,0.5685573,0.25987595,63,FALSE
,,advisori board member celal bayar univers,"İzmir, Türkiye",mid,0.5685573,0.25987595,64,FALSE
,,busi manag major aspir human resourc manag,"Monroe, LA",mid,0.79465,0.25414437,65,FALSE
,,admiss repres commun medic center long beach,"Long Beach, CA",junior,0.69119763,0.24307641,66,FALSE
,,human resourc specialist luxottica,"New York, NY",mid,0.83770436,0.24186668,67,FALSE
,,undergradu research assist styczynski lab,"Atlanta, GA",junior,0.54296184,0.22999936,68,FALSE
,,peopl develop coordin ryan,"Denton, TX",mid,0.68716794,0.2233553,69,FALSE
,,peopl develop coordin ryan,"Denton, TX",mid,0.68716794,0.2233553,70,FALSE
,,peopl develop coordin ryan,"Denton, TX",mid,0.68716794,0.2233553,71,FALSE
,,peopl develop coordin ryan,"Denton, TX",mid,0.68716794,0.2233553,72,FALSE
,,peopl develop coordin ryan,"Denton, TX",mid,0.68716794,0.2233553,73,FALSE
,,peopl develop coordin ryan,"Denton, TX",mid,0.68716794,0.2233553,74,FALSE
,,seek human resourc posit,"Las Vegas, NV",junior,0.7978475,0.21984512,75,FALSE
,,senior human resourc busi partner heil environment,"Chattanooga, TN",senior,0.78536665,0.21188061,76,FALSE
,,junior me engin inform system,"Myrtle Beach, SC",junior,0.61769104,0.20479697,77,FALSE
,,human resourc coordin intercontinent buckhead atlanta,"Atlanta, GA",mid,0.79502165,0.20104572,78,FALSE
,,human resourc coordin intercontinent buckhead atlanta,"Atlanta, GA",mid,0.79502165,0.20104572,79,FALSE
,,human resourc coordin intercontinent buckhead atlanta,"Atlanta, GA",mid,0.79502165,0.20104572,80,FALSE
,,human resourc coordin intercontinent buckhead atlanta,"Atlanta, GA",mid,0.79502165,0.20104572,81,FALSE
,,student westfield state univers,"Bridgewater, MA",intern,0.4648878,0.19879618,82,FALSE
,,human resourc manag endemol shine north america,"Los Angeles, CA",mid,0.7803966,0.18770327,83,FALSE
,,busi intellig analyt travel,"New York, NY",junior,0.6037015,0.17964686,84,FALSE
,,director administr excel log,"Katy, TX",executive,0.62274194,0.17851898,85,FALSE
,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,"Houston, TX",executive,0.7468645,0.16956273,86,FALSE
,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,"Houston, TX",executive,0.7468645,0.16956273,87,FALSE
,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,"Houston, TX",executive,0.7468645,0.16956273,88,FALSE
,,senior vice presid chief human resourc offic market commun csr offic engi houston woodland energi gphr sphr,"Houston, TX",executive,0.7468645,0.16956273,89,FALSE
,,human resourc generalist loparex,"Raleigh, NC",junior,0.7975513,0.16333349,90,FALSE
,,student indiana univers kokomo busi manag retail manag delphi hardwar paint,"Lafayette, IN",mid,0.55894035,0.11919649,91,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,92,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,93,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,94,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,95,FALSE
,,human resourc senior specialist,"San Francisco, CA",senior,0.78396237,0.10873441,96,FALSE
,,retir armi nation guard recruit offic manag seek posit human resourc,"Virginia Beach, VA",mid,0.66111857,0.085328184,97,FALSE
,,human resourc conflict manag polici procedur talent manag benefit compens,"Dallas, TX",junior,0.67524654,0.0801749,98,FALSE
,,seek human resourc opportun open travel reloc,United States,junior,0.70675325,0.07383129,99,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,100,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,101,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,102,FALSE
,,seek human resourc human resourc inform system generalist posit,"Philadelphia, PA",junior,0.7520538,0.038316336,103,FALSE
,,inform system specialist programm love data organ,"Gaithersburg, MD",mid,0.6224495,0,104,FALSE
